"Symbol";"Value";"Unit";
"REFERENCE";"SHF16";"";
"TraceParts.PartVersion";"1.1.8";"";
"SUPPLIER";"FLI";"";
"MASS";"34";"g";
"TraceParts.PartNumber";"10-13012015-088988";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"Shaft support block SHF16";"";
"TraceParts.InstanceId";"10-13012015-088988C5STNL9UYSN1RCO9HNU7CWEOI";"";
"TraceParts.PartTitle";"SHF - Shaft support block";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartStatusId";"";"";
"TraceParts.ClassPath";"FLI:/F_FLI/FLI.30/10-13012015-088988";"";
"TraceParts.PartStatus";"Published";"";
